BIGau,Ndate,BIGpf,LGdija,usdin,loggas,logauf
0,1996/5/6,-28.8022,-10.89077,-3.956224203,34.50827313,17.66773784
-3.30807,1996/5/7,14.42498,-34.59928,0,78.1450601,1.101850778
12.11729,1996/5/8,-22.68939,42.34152,-12.8826752,-1.98625424,-8.822643601
-23.16243,1996/5/9,-66.6876,0.857,0,47.42116071,-2.208464232
5.52608,1996/5/10,68.75518,33.97486,19.80370426,-11.80683505,-26.58954113
-24.36752,1996/5/13,71.75196,50.43797,2.469125553,158.6463588,7.772113472
-3.33346,1996/5/14,12.18218,32.63625,7.891781513,-24.76790334,2.218051539
16.64178,1996/5/15,12.14811,0.564,5.909439377,49.39535544,9.967237161
-3.32326,1996/5/16,-143.88734,7.41277,-2.46128928,5.663480245,0
0.554,1996/5/17,-29.3585,40.23636,1.969143003,-34.0921972,-4.427059322
-12.20552,1996/5/20,370.86614,46.57301,4.918954902,75.40024144,-17.7535038
1.66641,1996/5/21,32.71899,-9.49883,16.19313542,-54.53433845,1.111722729
-2.22202,1996/5/22,-246.54433,31.4871,1.46911367,63.86798661,8.883551692
6.66266,1996/5/23,-34.63779,-11.95239,-3.918741361,14.89223858,-1.10945072
-6.10705,1996/5/24,18.37206,0.558,10.76804181,44.37274687,-8.885823701
12.75951,1996/5/28,-42.98967,-40.27061,7.814567685,103.6030945,8.885823701
-11.0931,1996/5/29,-72.60884,-27.34689,-33.80121879,42.89363084,-2.219752064
3.33091,1996/5/30,-175.02195,14.96141,-1.967581784,-82.58845892,-7.778079022
-8.33206,1996/5/31,-39.38214,-38.48557,-23.18610681,18.08809287,4.446322189
1.66769,1996/6/3,19.73571,-14.23767,6.919453776,0,-7.784053737
-11.13005,1996/6/4,127.2038,31.54205,4.935725976,-76.48150795,-30.15558216
-22.90617,1996/6/5,-155.73981,24.28468,4.437362408,27.46969828,-19.09483534
-31.48297,1996/6/6,72.07466,-23.15036,1.970706702,-31.1454876,-3.378409209
19.70359,1996/6/7,49.53574,22.86832,14.26094241,60.25624473,-9.021960802
-10.68514,1996/6/10,-6.42923,-7.04943,-2.946700205,-9.076168024,11.27452559
-8.45425,1996/6/11,-32.2897,-14.69252,2.946700205,66.71875384,-16.9227834
-1.12848,1996/6/12,-2.16121,-0.283,-4.912278342,12.50797562,1.130239387
-1.12877,1996/6/13,-17.32848,-7.92956,-13.78401236,105.7587525,-1.130239387
-6.77879,1996/6/14,71.0386,-6.52936,1.97182515,26.04212172,5.648257811
10.16422,1996/6/17,368.26668,2.55914,-13.82161373,46.48587895,3.385432017
-1.69239,1996/6/18,-135.47899,-19.0568,-24.29417787,124.9125813,4.509808109
16.33217,1996/6/19,-144.02368,15.65196,11.91617024,34.80340747,-12.41325855
-21.41329,1996/6/20,-23.07293,8.51093,1.487224997,-23.17125446,-1.130239387
-13.57879,1996/6/21,-156.30722,35.00465,27.66845648,38.0020423,5.648257811
11.3186,1996/6/24,13.0615,9.55044,-13.81219417,9.859129817,0
10.16158,1996/6/25,-4.34947,1.12399,-1.976761445,34.33175838,-12.43587808
-14.68548,1996/6/26,147.59519,-27.8587,-3.956224203,32.44650743,-9.066693938
